,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
0,000_000.dat,521.81,505.72,10888.0,8,3.96
1,000_001.dat,522.84,505.82,10928.0,6,3.62
2,000_002.dat,522.77,505.56,10913.0,4,3.44
3,000_003.dat,522.67,505.67,10919.0,4,3.36
4,000_004.dat,522.93,505.22,10710.0,11,3.76
5,000_005.dat,523.16,505.6,10963.0,3,3.36
6,000_006.dat,523.01,505.69,10928.0,7,3.5
7,000_007.dat,522.32,505.93,10433.0,17,4.04
8,000_008.dat,521.62,505.61,10802.0,13,4.03
9,000_009.dat,521.48,504.51,8208.0,19,4.2
10,000_010.dat,522.86,505.43,10462.0,7,3.92
11,000_011.dat,522.27,505.51,8078.0,16,4.27
12,000_012.dat,521.92,504.73,10944.0,8,3.93
13,000_013.dat,523.75,505.91,10793.0,10,3.77
14,000_014.dat,523.1,505.69,10930.0,6,3.44
15,000_015.dat,521.91,505.44,9321.0,21,4.33
16,000_016.dat,521.9,504.77,11042.0,11,3.75
17,000_017.dat,522.7,505.51,10935.0,2,3.2
18,000_018.dat,522.47,505.29,11030.0,9,3.6
19,000_019.dat,522.93,505.48,7567.0,20,4.33
20,000_020.dat,522.64,505.75,11018.0,6,3.54
21,000_021.dat,522.22,505.95,10848.0,6,3.84
22,000_022.dat,523.06,505.88,10920.0,5,3.65
23,000_023.dat,522.13,505.53,9560.0,6,4.19
24,000_024.dat,521.47,505.48,9830.0,10,4.05
25,000_025.dat,523.01,505.51,10971.0,5,3.64
26,000_026.dat,523.7,505.61,10889.0,6,3.97
27,000_027.dat,520.09,504.5,9176.0,14,4.31
28,000_028.dat,524.52,505.98,9845.0,7,4.24
29,000_029.dat,523.62,505.33,9892.0,11,4.14
30,001_000.dat,522.9,505.4,10954.0,6,3.54
31,001_001.dat,524.0,505.92,11023.0,9,3.76
32,001_002.dat,522.45,505.43,11007.0,3,3.26
33,001_003.dat,522.66,505.64,10930.0,3,3.25
34,001_004.dat,522.49,505.66,10903.0,1,3.34
35,001_005.dat,522.65,506.04,10870.0,7,3.67
36,001_006.dat,523.24,505.68,10986.0,7,3.64
37,001_007.dat,522.26,505.73,10606.0,12,3.94
38,001_008.dat,522.58,505.87,10929.0,3,3.46
39,001_009.dat,522.54,505.65,10897.0,4,3.43
40,001_010.dat,522.44,504.85,10933.0,6,3.72
41,001_011.dat,523.44,505.17,10925.0,17,3.96
42,001_012.dat,521.58,504.98,10740.0,12,3.96
43,001_013.dat,522.87,505.93,10792.0,9,4.12
44,001_014.dat,521.26,504.53,10217.0,15,4.13
45,001_015.dat,521.81,505.82,10580.0,12,3.98
46,001_016.dat,522.39,504.82,10579.0,9,3.83
47,001_017.dat,521.6,504.59,10780.0,11,3.94
48,001_018.dat,522.14,504.63,10774.0,9,3.9
49,001_019.dat,522.27,505.96,10821.0,12,3.88
50,001_020.dat,522.35,504.99,10716.0,10,3.96
51,001_021.dat,522.31,504.88,10769.0,8,3.83
52,001_022.dat,522.74,505.97,10871.0,9,3.77
53,001_023.dat,522.84,505.35,10778.0,6,3.65
54,001_024.dat,523.08,505.67,10849.0,7,3.84
55,001_025.dat,521.69,505.13,10850.0,8,4.1
56,001_026.dat,522.25,504.52,9417.0,15,4.25
57,001_027.dat,522.93,505.68,9594.0,8,4.16
58,001_028.dat,522.3,505.41,8128.0,13,4.35
59,001_029.dat,522.9,505.28,9557.0,9,4.22
60,002_000.dat,521.9,504.92,10075.0,20,4.12
61,002_001.dat,522.31,505.83,10979.0,4,3.48
62,002_002.dat,522.68,505.59,10883.0,5,3.3
63,002_003.dat,522.12,506.24,10815.0,14,3.95
64,002_004.dat,521.94,505.09,10638.0,12,4.07
65,002_005.dat,522.11,505.56,9201.0,24,4.25
66,002_006.dat,523.92,505.82,10900.0,13,3.8
67,002_007.dat,522.04,505.88,10234.0,14,4.07
68,002_008.dat,522.52,505.0,10848.0,9,3.69
69,002_009.dat,523.11,505.69,10896.0,11,3.44
70,002_010.dat,523.53,505.76,10900.0,9,3.59
71,002_011.dat,522.22,505.53,10921.0,2,3.32
72,002_012.dat,521.77,505.86,10864.0,12,3.76
73,002_013.dat,521.98,505.18,8993.0,19,4.3
74,002_014.dat,521.92,505.52,10597.0,12,3.94
75,002_015.dat,522.3,505.47,10852.0,9,3.59
76,002_016.dat,521.75,505.11,10870.0,9,3.81
77,002_017.dat,521.46,505.53,10723.0,15,3.83
78,002_018.dat,522.31,506.26,10525.0,13,3.98
79,002_019.dat,522.27,505.14,10800.0,5,3.67
80,002_020.dat,523.44,505.85,10957.0,9,3.57
81,002_021.dat,524.56,505.93,10874.0,13,4.06
82,002_022.dat,522.69,506.0,10874.0,4,3.79
83,002_023.dat,523.06,505.7,10805.0,7,3.79
84,002_024.dat,521.99,506.05,10493.0,7,3.95
85,002_025.dat,522.66,504.7,9497.0,9,4.15
86,002_026.dat,522.69,505.27,8898.0,19,4.22
87,002_027.dat,521.55,504.79,8867.0,16,4.37
88,002_028.dat,522.58,505.62,10681.0,14,3.91
89,002_029.dat,523.4,505.45,10664.0,11,4.07
90,003_000.dat,521.71,505.73,10725.0,10,3.96
91,003_001.dat,522.05,505.44,10750.0,10,3.69
92,003_002.dat,523.83,505.79,10943.0,9,3.81
93,003_003.dat,523.44,505.86,10864.0,10,3.67
94,003_004.dat,522.82,505.43,9996.0,14,4.03
95,003_005.dat,522.54,505.63,10848.0,4,3.64
96,003_006.dat,522.26,505.13,10721.0,9,3.77
97,003_007.dat,523.02,505.36,10850.0,6,3.54
98,003_008.dat,522.41,505.57,10921.0,3,3.2
99,003_009.dat,522.55,505.55,7853.0,23,4.32
100,003_010.dat,523.53,505.88,10764.0,11,3.86
101,003_011.dat,521.93,505.95,10904.0,8,3.74
102,003_012.dat,522.54,505.9,10743.0,7,3.65
103,003_013.dat,523.15,505.65,10934.0,3,3.47
104,003_014.dat,522.64,505.77,10782.0,16,4.04
105,003_015.dat,522.08,505.86,10879.0,9,3.56
106,003_016.dat,522.76,505.2,10910.0,9,3.76
107,003_017.dat,523.0,505.47,10878.0,11,3.56
108,003_018.dat,521.79,505.74,10854.0,12,3.95
109,003_019.dat,521.83,505.96,10796.0,8,3.65
110,003_020.dat,522.08,505.34,10865.0,8,3.58
111,003_021.dat,523.33,505.76,10804.0,9,3.95
112,003_022.dat,522.73,505.78,10929.0,8,3.54
113,003_023.dat,522.17,505.81,10058.0,12,4.11
114,003_024.dat,521.96,504.79,10756.0,14,3.96
115,003_025.dat,523.2,506.11,10774.0,9,4.02
116,003_026.dat,521.78,505.32,9573.0,13,4.23
117,003_027.dat,521.18,504.62,10402.0,14,4.11
118,003_028.dat,521.62,505.02,9595.0,6,4.21
119,003_029.dat,522.51,505.32,10683.0,6,3.75
120,004_000.dat,521.52,505.3,10771.0,11,4.02
121,004_001.dat,522.43,505.72,10893.0,4,3.29
122,004_002.dat,522.52,505.86,9900.0,24,4.27
123,004_003.dat,522.77,505.68,10878.0,4,3.24
124,004_004.dat,522.08,506.87,9396.0,28,4.25
125,004_005.dat,522.17,505.82,10991.0,7,3.42
126,004_006.dat,522.4,504.61,10848.0,10,3.77
127,004_007.dat,523.62,506.05,10911.0,6,3.75
128,004_008.dat,522.84,504.97,10903.0,15,3.88
129,004_009.dat,522.51,505.31,10941.0,11,3.9
130,004_010.dat,523.31,505.9,10883.0,6,3.54
131,004_011.dat,523.44,505.82,10926.0,17,3.76
132,004_012.dat,522.08,505.91,10914.0,7,3.6
133,004_013.dat,524.37,506.3,10787.0,14,4.0
134,004_014.dat,523.45,505.96,10879.0,7,3.81
135,004_015.dat,522.03,505.67,10872.0,9,3.57
136,004_016.dat,520.87,504.94,10736.0,13,4.12
137,004_017.dat,521.04,505.06,10843.0,10,3.92
138,004_018.dat,521.91,505.04,10750.0,7,3.76
139,004_019.dat,522.06,505.65,10911.0,6,3.56
140,004_020.dat,522.36,505.61,10919.0,3,3.14
141,004_021.dat,521.52,504.8,10614.0,15,3.99
142,004_022.dat,523.3,505.42,9321.0,16,4.24
143,004_023.dat,522.41,505.25,10806.0,9,4.04
144,004_024.dat,521.28,505.02,10610.0,14,4.1
145,004_025.dat,522.64,505.93,10903.0,10,3.8
146,004_026.dat,522.09,505.98,10537.0,8,3.85
147,004_027.dat,521.61,505.13,10659.0,7,4.02
148,004_028.dat,522.53,504.65,10720.0,5,3.95
149,004_029.dat,522.71,505.41,10504.0,8,3.87
150,005_000.dat,523.67,505.89,10992.0,5,3.69
151,005_001.dat,523.11,505.56,10883.0,9,3.58
152,005_002.dat,521.75,505.09,10492.0,19,4.22
153,005_003.dat,521.3,505.63,10768.0,8,3.87
154,005_004.dat,522.85,505.78,10887.0,6,3.39
155,005_005.dat,523.63,505.93,10840.0,8,3.77
156,005_006.dat,522.48,505.94,10812.0,4,3.64
157,005_007.dat,521.05,504.42,10573.0,14,4.14
158,005_008.dat,522.94,505.52,10943.0,4,3.34
159,005_009.dat,521.66,506.04,10639.0,16,3.8
160,005_010.dat,523.61,505.47,8838.0,16,4.24
161,005_011.dat,522.9,505.78,10924.0,11,3.71
162,005_012.dat,522.67,505.74,8865.0,15,4.31
163,005_013.dat,521.76,505.19,9673.0,19,4.13
164,005_014.dat,524.35,506.11,10774.0,15,3.91
165,005_015.dat,523.36,505.87,10366.0,20,4.12
166,005_016.dat,523.43,505.86,10924.0,11,3.54
167,005_017.dat,523.9,506.21,10874.0,11,3.88
168,005_018.dat,522.33,505.05,10810.0,16,4.05
169,005_019.dat,523.71,505.84,10879.0,11,3.74
170,005_020.dat,522.67,505.97,10616.0,13,3.89
