,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
0,01/000_000.dat,489.26,509.88,644.0,2,4.93
1,01/000_001.dat,490.21,509.01,3081.0,5,5.02
2,01/000_002.dat,488.36,508.87,9319.0,1,4.48
3,01/000_003.dat,488.54,508.91,9495.0,1,4.43
4,01/000_004.dat,488.55,508.95,9374.0,1,4.47
5,01/000_005.dat,488.51,509.15,9651.0,1,4.43
6,01/000_006.dat,488.29,508.87,9426.0,1,4.45
7,01/000_007.dat,488.83,509.07,9400.0,1,4.44
8,01/000_008.dat,488.43,508.91,9442.0,1,4.44
9,01/000_009.dat,488.53,508.83,9556.0,1,4.45
10,01/000_010.dat,488.29,508.87,9344.0,1,4.46
11,01/000_011.dat,488.34,508.8,9514.0,1,4.45
12,01/000_012.dat,488.41,508.88,9399.0,1,4.47
13,01/000_013.dat,488.47,508.87,9339.0,1,4.47
14,01/000_014.dat,488.65,508.67,3934.0,1,5.0
15,01/000_015.dat,488.66,508.94,10878.0,1,4.13
16,01/000_016.dat,488.66,508.84,10907.0,1,4.14
17,01/000_017.dat,488.57,508.9,11044.0,1,4.1
18,01/000_018.dat,488.49,508.84,11101.0,1,4.08
19,01/000_019.dat,488.63,508.9,11023.0,1,4.11
20,01/000_020.dat,488.73,508.99,11032.0,1,4.09
21,01/000_021.dat,488.62,508.91,10827.0,1,4.12
22,01/000_022.dat,488.62,508.91,11135.0,1,4.08
23,01/000_023.dat,488.67,508.92,10767.0,1,4.17
24,01/000_024.dat,488.54,508.84,11208.0,1,4.08
25,01/000_025.dat,488.63,508.93,10933.0,1,4.09
26,01/000_026.dat,488.61,508.83,11097.0,1,4.08
27,01/000_027.dat,488.63,508.91,10905.0,1,4.12
28,01/000_028.dat,488.63,508.96,10989.0,1,4.09
29,01/000_029.dat,488.68,508.91,11243.0,1,4.06
30,01/000_030.dat,488.62,508.9,10974.0,1,4.1
31,01/000_031.dat,488.44,508.92,10871.0,1,4.11
32,01/000_032.dat,488.62,508.96,10754.0,1,4.14
33,01/000_033.dat,488.55,508.91,11077.0,1,4.06
34,01/000_034.dat,488.7,508.89,11026.0,1,4.1
35,01/000_035.dat,488.62,508.9,11036.0,1,4.1
36,01/000_036.dat,488.52,508.93,10952.0,1,4.12
37,01/000_037.dat,488.57,508.83,11026.0,1,4.09
38,01/000_038.dat,488.68,508.93,11037.0,1,4.09
39,01/000_039.dat,488.55,508.92,10928.0,1,4.1
40,01/001_000.dat,490.14,510.74,773.0,3,4.91
41,01/001_001.dat,489.37,508.45,2942.0,5,5.02
42,01/001_002.dat,488.93,508.92,10609.0,1,4.22
43,01/001_003.dat,488.93,508.91,10723.0,1,4.18
44,01/001_004.dat,488.82,508.9,10576.0,1,4.21
45,01/001_005.dat,488.85,508.94,10404.0,1,4.25
46,01/001_006.dat,488.77,508.99,10685.0,1,4.2
47,01/001_007.dat,488.88,508.89,10479.0,1,4.23
48,01/001_008.dat,488.87,508.99,10727.0,1,4.18
49,01/001_009.dat,488.88,508.87,10578.0,1,4.22
50,01/001_010.dat,488.75,508.81,10714.0,1,4.2
51,01/001_011.dat,488.88,508.88,10654.0,1,4.19
52,01/001_012.dat,488.92,508.9,10903.0,1,4.19
53,01/001_013.dat,488.92,508.93,10758.0,1,4.19
54,01/001_014.dat,488.9,508.96,10373.0,1,4.29
55,01/001_015.dat,488.68,508.9,10714.0,1,4.18
56,01/001_016.dat,488.73,509.0,10814.0,1,4.14
