,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
0,01/000_000.dat,487.68,509.01,11248.0,1,4.05
1,01/000_001.dat,487.7,509.06,10972.0,1,4.12
2,01/000_002.dat,487.71,509.05,10955.0,1,4.11
3,01/000_003.dat,488.57,506.17,8582.0,1,4.49
4,01/000_004.dat,488.54,508.89,5667.0,2,4.8
5,01/000_005.dat,490.62,509.84,2780.0,4,5.04
6,01/000_006.dat,487.31,508.13,2776.0,2,5.03
7,01/000_007.dat,489.59,508.48,2394.0,5,5.04
8,01/000_008.dat,491.03,511.88,2806.0,2,5.05
9,01/000_009.dat,488.12,509.35,3597.0,1,4.93
10,01/000_010.dat,487.25,508.01,1086.0,2,5.09
11,01/000_011.dat,488.61,509.31,1330.0,2,5.07
12,01/000_012.dat,489.12,511.03,434.0,1,5.02
13,01/000_013.dat,486.21,508.63,516.0,1,5.06
14,01/000_014.dat,489.51,512.1,574.0,1,5.06
15,01/000_015.dat,486.71,504.89,396.0,1,5.03
16,01/000_016.dat,490.34,511.85,254.0,1,4.96
17,01/000_017.dat,485.35,507.85,278.0,1,4.99
18,01/000_018.dat,487.42,508.77,237.0,1,5.07
19,01/000_019.dat,487.26,510.35,293.0,1,5.0
20,01/000_020.dat,486.07,510.21,352.0,1,5.02
21,01/000_021.dat,487.64,510.04,797.0,1,5.09
22,01/000_022.dat,486.28,509.83,619.0,2,5.07
23,01/000_023.dat,486.16,508.26,398.0,3,4.98
24,01/000_024.dat,488.47,508.16,423.0,1,4.95
25,01/000_025.dat,487.05,507.8,162.0,3,4.79
26,01/000_026.dat,489.85,511.29,353.0,1,4.99
27,01/000_027.dat,488.32,509.37,1734.0,1,5.09
28,01/000_028.dat,488.71,510.02,1613.0,1,5.09
29,01/000_029.dat,489.91,508.94,895.0,1,5.11
30,01/000_030.dat,488.08,509.67,1550.0,1,5.03
31,01/000_031.dat,491.29,509.24,1798.0,1,5.07
32,01/000_032.dat,488.89,507.2,612.0,1,5.08
33,01/000_033.dat,486.97,509.39,207.0,1,4.99
34,01/000_034.dat,490.21,511.33,347.0,1,5.01
35,01/000_035.dat,486.19,506.92,291.0,1,4.94
36,01/000_036.dat,485.08,507.69,587.0,1,5.05
37,01/000_037.dat,487.32,509.01,302.0,1,4.95
38,01/000_038.dat,488.52,508.54,306.0,1,4.91
39,01/000_039.dat,489.43,511.11,330.0,1,4.87
40,01/001_000.dat,488.35,509.07,9994.0,1,4.34
41,01/001_001.dat,488.18,509.09,9249.0,1,4.44
42,01/001_002.dat,488.12,509.17,9494.0,1,4.42
43,01/001_003.dat,485.01,506.76,7836.0,1,4.66
44,01/001_004.dat,489.62,509.15,4921.0,1,4.88
45,01/001_005.dat,489.07,508.64,3609.0,1,4.95
46,01/001_006.dat,491.19,509.31,3225.0,3,5.02
47,01/001_007.dat,491.28,512.26,2892.0,2,5.05
48,01/001_008.dat,489.65,509.34,3120.0,1,5.01
49,01/001_009.dat,489.24,509.03,2486.0,1,5.03
50,01/001_010.dat,487.63,507.81,1291.0,1,5.1
