,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
0,000_000.dat,524.0,506.07,8451.0,10,4.15
1,000_001.dat,523.01,506.93,10281.0,6,4.06
2,000_002.dat,521.73,505.49,6584.0,9,4.49
3,000_003.dat,523.3,506.49,6693.0,8,4.48
4,000_004.dat,522.46,505.68,7806.0,4,4.39
5,000_005.dat,522.53,506.3,9553.0,8,4.17
6,000_006.dat,523.03,506.03,9108.0,6,4.19
7,000_007.dat,523.92,507.39,10205.0,2,3.96
8,000_008.dat,523.65,505.46,6642.0,9,4.42
9,000_009.dat,522.99,505.13,7287.0,9,4.37
10,000_010.dat,523.24,506.14,10920.0,2,3.56
11,000_011.dat,523.12,506.24,10943.0,3,3.58
12,000_012.dat,523.96,505.65,10745.0,4,3.81
13,000_013.dat,521.64,507.98,7071.0,12,4.41
14,000_014.dat,523.48,505.69,8677.0,7,4.23
15,000_015.dat,522.02,506.06,10270.0,6,3.75
16,000_016.dat,522.13,505.6,10579.0,2,3.68
17,000_017.dat,523.73,505.64,9684.0,2,4.12
18,000_018.dat,518.34,504.88,8968.0,4,4.42
19,000_019.dat,522.38,506.28,3752.0,5,4.66
20,000_020.dat,522.7,506.82,8390.0,4,4.29
21,000_021.dat,521.97,504.62,9400.0,5,4.11
22,000_022.dat,525.34,506.44,9565.0,7,4.2
23,000_023.dat,521.74,505.65,6361.0,13,4.46
24,000_024.dat,522.96,505.72,9656.0,4,3.97
25,000_025.dat,522.97,507.01,7598.0,10,4.36
26,000_026.dat,524.51,505.53,7805.0,7,4.38
27,000_027.dat,522.01,505.81,3443.0,9,4.66
28,000_028.dat,522.3,506.43,5830.0,11,4.53
29,000_029.dat,523.09,503.99,7263.0,10,4.4
30,000_030.dat,521.6,506.83,6331.0,4,4.48
31,000_031.dat,524.45,506.75,9683.0,5,4.16
32,000_032.dat,522.08,505.54,10247.0,10,3.83
33,000_033.dat,522.43,505.74,7272.0,6,4.41
34,000_034.dat,522.4,506.21,5317.0,10,4.59
35,000_035.dat,522.49,505.37,4239.0,5,4.63
36,000_036.dat,523.1,506.34,7064.0,5,4.44
37,000_037.dat,523.09,506.02,6741.0,5,4.5
38,000_038.dat,523.2,506.83,9419.0,7,4.16
39,000_039.dat,522.72,506.55,9018.0,5,4.16
40,000_040.dat,524.03,506.48,8005.0,7,4.39
41,000_041.dat,522.92,505.89,10981.0,1,3.22
42,000_042.dat,524.25,506.69,10147.0,5,4.03
43,000_043.dat,524.28,506.76,5639.0,6,4.57
44,000_044.dat,522.28,506.67,9453.0,5,4.12
45,000_045.dat,522.95,506.08,8392.0,6,4.33
46,000_046.dat,523.45,505.79,7533.0,9,4.41
47,000_047.dat,522.69,505.98,6948.0,9,4.42
48,000_048.dat,523.18,504.63,9751.0,5,4.06
49,000_049.dat,522.97,505.63,10973.0,1,3.29
50,000_050.dat,524.22,506.33,6036.0,7,4.51
51,000_051.dat,522.81,505.85,6459.0,10,4.51
52,000_052.dat,522.01,506.33,6258.0,3,4.54
53,000_053.dat,524.52,505.26,9424.0,5,4.25
54,000_054.dat,522.68,506.21,7757.0,6,4.44
55,000_055.dat,523.99,507.53,8415.0,5,4.35
56,000_056.dat,522.77,505.46,9344.0,5,4.16
57,000_057.dat,525.14,506.51,7975.0,6,4.31
58,000_058.dat,522.92,506.0,5225.0,4,4.59
59,000_059.dat,522.7,506.35,9502.0,6,4.18
60,000_060.dat,524.01,507.18,9215.0,4,4.27
61,000_061.dat,522.26,506.25,9478.0,10,4.06
62,000_062.dat,521.65,509.52,4328.0,9,4.62
63,000_063.dat,524.08,505.63,6525.0,11,4.47
64,000_064.dat,523.63,505.87,7772.0,11,4.34
65,000_065.dat,523.68,506.0,4800.0,7,4.62
66,000_066.dat,520.07,506.86,2561.0,3,4.71
67,000_067.dat,523.02,506.08,5325.0,6,4.57
68,000_068.dat,523.13,504.9,8940.0,7,4.13
69,000_069.dat,523.33,505.97,6442.0,13,4.45
70,000_070.dat,524.81,509.6,8730.0,5,4.35
71,000_071.dat,523.9,506.09,7577.0,8,4.39
72,000_072.dat,523.59,505.44,6648.0,7,4.41
73,000_073.dat,522.45,504.51,10728.0,6,3.74
74,000_074.dat,524.42,505.43,10009.0,3,3.89
75,000_075.dat,522.53,505.71,7720.0,8,4.32
76,000_076.dat,526.14,504.87,5104.0,5,4.62
77,000_077.dat,522.05,507.11,8429.0,4,4.33
