,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
0,01/000_000.dat,507.05,539.88,8355.0,2,7.29
1,01/000_001.dat,506.4,540.78,9831.0,2,7.29
2,01/000_002.dat,506.44,540.92,11810.0,1,7.27
3,01/000_003.dat,506.63,540.99,11810.0,1,7.25
4,01/000_004.dat,506.34,540.84,11810.0,1,7.25
5,01/000_005.dat,506.49,541.0,11810.0,1,7.25
6,01/000_006.dat,505.99,540.99,11810.0,1,7.26
7,01/000_007.dat,505.67,541.12,11810.0,2,7.26
8,01/000_008.dat,505.61,541.22,11810.0,1,7.26
9,01/000_009.dat,505.49,541.27,11810.0,2,7.26
10,01/000_010.dat,505.01,541.5,11457.0,2,7.28
11,01/000_011.dat,505.02,541.5,10474.0,3,7.27
12,01/000_012.dat,505.12,541.59,4630.0,9,7.28
13,01/000_013.dat,505.12,541.42,11661.0,2,7.27
14,01/000_014.dat,504.65,541.54,5060.0,6,7.23
15,01/000_015.dat,504.64,541.43,11810.0,1,7.27
16,01/000_016.dat,504.52,541.52,11810.0,1,7.26
17,01/000_017.dat,504.5,541.53,11810.0,1,7.27
18,01/000_018.dat,504.38,541.77,11810.0,2,7.27
19,01/000_019.dat,504.5,541.51,11773.0,1,7.27
20,01/001_000.dat,504.88,537.59,3884.0,2,7.32
21,01/001_001.dat,504.75,538.59,3781.0,2,7.32
22,01/001_002.dat,504.68,538.74,4226.0,2,7.34
23,01/001_003.dat,504.83,539.23,4657.0,3,7.33
24,01/001_004.dat,505.36,539.27,5233.0,3,7.33
25,01/001_005.dat,505.48,539.81,5597.0,2,7.33
26,01/001_006.dat,505.36,539.35,5300.0,2,7.33
27,01/001_007.dat,505.4,539.87,5565.0,2,7.32
28,01/001_008.dat,505.44,540.27,5676.0,2,7.32
29,01/001_009.dat,504.77,540.23,4862.0,2,7.31
30,01/001_010.dat,505.0,541.0,4016.0,3,7.29
31,01/001_011.dat,504.79,540.51,3133.0,5,7.27
32,01/001_012.dat,504.22,541.19,1308.0,6,7.2
33,01/001_013.dat,505.08,540.9,2701.0,7,7.26
34,01/001_014.dat,504.82,541.11,2946.0,6,7.19
35,01/001_015.dat,504.99,541.01,7417.0,2,7.31
36,01/001_016.dat,505.01,541.21,8116.0,2,7.29
37,01/001_017.dat,504.88,541.41,7382.0,2,7.27
38,01/001_018.dat,504.89,541.42,7918.0,2,7.31
39,01/001_019.dat,505.0,541.5,7912.0,2,7.29
40,01/002_000.dat,505.93,536.92,6191.0,3,7.3
41,01/002_001.dat,506.43,537.93,5332.0,2,7.31
42,01/002_002.dat,505.98,539.15,4910.0,2,7.31
43,01/002_003.dat,506.34,538.56,5734.0,2,7.31
44,01/002_004.dat,506.5,539.49,5805.0,2,7.31
45,01/002_005.dat,506.48,539.14,5709.0,3,7.3
46,01/002_006.dat,506.76,538.61,6347.0,2,7.29
47,01/002_007.dat,506.47,539.61,6230.0,2,7.3
48,01/002_008.dat,505.99,539.59,5539.0,2,7.3
49,01/002_009.dat,505.26,540.59,2778.0,3,7.26
50,01/002_010.dat,506.62,539.0,1590.0,5,7.18
51,01/002_011.dat,505.28,540.68,978.0,4,7.16
52,01/002_012.dat,503.57,540.43,480.0,5,7.03
53,01/002_013.dat,505.03,539.35,903.0,7,7.18
54,01/002_014.dat,504.38,541.19,1394.0,6,7.07
55,01/002_015.dat,505.93,540.89,7462.0,2,7.28
