,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
0,000_000.dat,523.38,506.56,10748.0,1,3.6
1,000_001.dat,523.48,506.89,8046.0,6,4.32
2,000_002.dat,522.96,506.71,8865.0,1,4.2
3,000_003.dat,522.74,506.7,9785.0,1,4.02
4,000_004.dat,523.26,507.22,5460.0,5,4.51
5,000_005.dat,522.94,506.82,8514.0,1,4.18
6,000_006.dat,523.19,506.68,8766.0,4,4.29
7,000_007.dat,523.55,506.73,8546.0,2,4.23
8,000_008.dat,523.18,506.76,10736.0,1,3.66
9,000_009.dat,523.08,506.62,10943.0,1,3.65
10,000_010.dat,523.25,506.73,10538.0,1,3.77
11,000_011.dat,523.13,506.69,6398.0,9,4.5
12,000_012.dat,523.56,506.73,8701.0,1,4.12
13,000_013.dat,522.92,506.96,7011.0,5,4.46
14,000_014.dat,523.05,506.54,10506.0,1,3.74
15,000_015.dat,523.07,506.69,10338.0,1,3.82
16,000_016.dat,522.85,506.7,9656.0,2,3.99
17,000_017.dat,523.43,506.74,7195.0,6,4.42
18,000_018.dat,523.56,506.5,3907.0,11,4.64
19,000_019.dat,523.18,506.63,9779.0,1,3.9
20,000_020.dat,523.68,506.69,9704.0,2,4.01
21,000_021.dat,523.36,507.01,7679.0,3,4.41
22,000_022.dat,523.03,506.74,9470.0,3,4.03
23,000_023.dat,523.37,506.54,10870.0,1,3.62
24,000_024.dat,523.51,506.33,9777.0,1,3.96
25,000_025.dat,522.45,506.99,7648.0,6,4.35
26,000_026.dat,523.13,506.42,10808.0,1,3.64
27,000_027.dat,523.1,506.56,10854.0,1,3.62
28,000_028.dat,523.39,506.53,10533.0,1,3.75
29,000_029.dat,523.16,506.45,10766.0,1,3.67
30,000_030.dat,523.17,506.93,4262.0,5,4.65
31,000_031.dat,523.21,506.57,10422.0,1,3.81
32,000_032.dat,522.75,506.95,8727.0,5,4.18
33,000_033.dat,523.22,506.24,10783.0,1,3.62
34,000_034.dat,523.22,506.45,10774.0,1,3.62
35,000_035.dat,523.15,506.52,10737.0,1,3.66
36,000_036.dat,523.26,506.46,10752.0,1,3.69
37,000_037.dat,523.33,506.3,9204.0,1,4.08
38,000_038.dat,523.15,506.51,10541.0,1,3.73
39,000_039.dat,523.15,506.51,10233.0,1,3.81
40,000_040.dat,523.53,506.53,5500.0,10,4.54
41,000_041.dat,523.8,506.4,5416.0,3,4.56
42,000_042.dat,523.55,506.39,6436.0,8,4.49
43,000_043.dat,523.71,506.68,5867.0,3,4.59
44,000_044.dat,523.75,506.17,5139.0,6,4.59
45,000_045.dat,523.86,507.06,6491.0,11,4.43
46,000_046.dat,523.06,506.52,10637.0,1,3.69
47,000_047.dat,523.22,506.24,10698.0,1,3.64
48,000_048.dat,523.47,506.39,7103.0,7,4.4
49,000_049.dat,522.84,506.84,6121.0,6,4.54
50,000_050.dat,523.25,506.37,10803.0,1,3.68
51,000_051.dat,523.11,506.42,10509.0,1,3.73
52,000_052.dat,523.26,506.36,9616.0,1,3.96
53,000_053.dat,523.17,506.63,9998.0,1,3.86
54,000_054.dat,523.02,506.65,9873.0,1,3.92
55,000_055.dat,523.06,506.47,4700.0,9,4.55
56,000_056.dat,523.57,506.3,10116.0,2,3.91
57,000_057.dat,523.09,506.33,10758.0,1,3.63
58,000_058.dat,523.22,506.29,10766.0,1,3.66
59,000_059.dat,523.12,506.19,5551.0,8,4.55
60,000_060.dat,522.68,506.74,8837.0,1,4.16
61,000_061.dat,523.16,506.22,10837.0,1,3.61
62,000_062.dat,523.07,506.24,10645.0,1,3.73
63,000_063.dat,523.43,506.02,8284.0,3,4.23
64,000_064.dat,523.18,506.34,10573.0,1,3.71
65,000_065.dat,523.11,506.25,10610.0,1,3.67
66,000_066.dat,523.29,506.22,10512.0,1,3.72
67,000_067.dat,523.64,506.8,4874.0,9,4.62
68,000_068.dat,523.31,506.14,6915.0,5,4.48
69,000_069.dat,523.36,506.61,8382.0,3,4.15
70,000_070.dat,523.56,506.76,2658.0,3,4.7
71,000_071.dat,523.27,506.23,6420.0,3,4.47
72,000_072.dat,522.96,506.57,4177.0,3,4.65
73,000_073.dat,523.76,505.97,7157.0,7,4.43
74,000_074.dat,523.1,506.23,10704.0,1,3.65
75,000_075.dat,522.85,506.37,9934.0,1,3.88
76,000_076.dat,522.83,506.46,8243.0,4,4.25
77,000_077.dat,523.03,506.3,10491.0,1,3.72
78,000_078.dat,523.16,506.23,10725.0,1,3.64
79,000_079.dat,522.86,506.55,7087.0,2,4.45
80,000_080.dat,523.27,506.21,6630.0,7,4.47
81,000_081.dat,523.32,506.15,10643.0,1,3.68
82,000_082.dat,523.54,506.25,10355.0,1,3.76
83,000_083.dat,522.91,506.41,9528.0,9,4.01
84,000_084.dat,523.36,506.02,8116.0,6,4.22
85,000_085.dat,523.27,506.07,7696.0,6,4.35
86,000_086.dat,523.54,506.45,4693.0,5,4.61
87,000_087.dat,522.86,506.16,9676.0,1,3.93
88,000_088.dat,523.42,505.96,7825.0,3,4.4
89,000_089.dat,523.06,506.11,10734.0,1,3.7
90,000_090.dat,523.58,506.7,6813.0,7,4.47
91,000_091.dat,523.35,506.23,8691.0,2,4.18
92,000_092.dat,523.01,506.04,5451.0,15,4.49
93,000_093.dat,523.21,506.16,10580.0,1,3.65
94,000_094.dat,523.14,506.15,10355.0,1,3.74
95,000_095.dat,523.12,506.53,7124.0,3,4.42
96,000_096.dat,523.51,505.9,9225.0,1,4.02
97,000_097.dat,522.87,505.97,10256.0,1,3.75
98,000_098.dat,522.74,506.43,8854.0,2,4.11
99,000_099.dat,523.64,506.16,4652.0,8,4.58
100,000_100.dat,522.9,505.89,9007.0,3,4.09
101,000_101.dat,523.11,506.47,6707.0,7,4.45
102,000_102.dat,523.0,506.03,10125.0,1,3.83
103,000_103.dat,522.93,506.1,9517.0,1,3.94
104,000_104.dat,523.27,506.72,5649.0,5,4.54
105,000_105.dat,523.04,505.92,5006.0,6,4.57
106,000_106.dat,522.96,506.04,10669.0,1,3.66
107,000_107.dat,523.19,506.08,10610.0,1,3.64
