,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
0,000_000.dat,522.22,507.04,11536.0,1,3.06
1,000_001.dat,522.21,507.16,11474.0,1,3.04
2,000_002.dat,522.18,507.11,11492.0,1,3.01
3,000_003.dat,522.3,507.16,11516.0,1,3.02
4,000_004.dat,522.24,507.07,11606.0,1,3.03
5,000_005.dat,522.27,507.06,11571.0,1,3.05
6,000_006.dat,522.22,507.03,11437.0,1,3.05
7,000_007.dat,522.24,507.04,11449.0,1,3.01
8,000_008.dat,522.19,507.11,11501.0,1,3.03
9,000_009.dat,522.22,507.15,11523.0,1,3.01
10,000_010.dat,522.16,506.98,11452.0,1,3.01
11,000_011.dat,522.19,507.1,11485.0,1,3.02
12,000_012.dat,522.26,507.14,11565.0,1,3.01
13,000_013.dat,522.18,507.01,11398.0,1,3.02
14,000_014.dat,522.24,507.03,11511.0,1,3.0
15,000_015.dat,522.24,507.03,11465.0,1,3.03
16,000_016.dat,522.19,506.94,11475.0,1,3.03
17,000_017.dat,522.22,507.03,11519.0,1,3.04
18,000_018.dat,522.19,507.06,11514.0,1,3.03
19,000_019.dat,522.14,507.03,11440.0,1,3.04
20,000_020.dat,522.3,507.1,11587.0,1,3.02
21,000_021.dat,522.19,506.96,11410.0,2,3.03
22,000_022.dat,522.23,506.98,11490.0,1,3.01
23,000_023.dat,522.27,507.0,11535.0,1,3.05
24,000_024.dat,522.21,506.97,11432.0,1,3.04
25,000_025.dat,522.23,507.03,11481.0,1,3.03
26,000_026.dat,522.22,507.03,11546.0,1,3.04
27,000_027.dat,522.34,507.06,11565.0,1,3.01
28,000_028.dat,522.18,507.01,11514.0,1,3.02
29,000_029.dat,522.25,506.96,11458.0,1,3.06
30,000_030.dat,522.27,507.0,11490.0,1,3.05
31,000_031.dat,522.34,507.06,11490.0,1,3.03
32,000_032.dat,522.27,507.0,11546.0,1,3.02
33,000_033.dat,522.23,506.98,11445.0,1,3.03
34,000_034.dat,522.27,506.91,11508.0,1,3.02
35,000_035.dat,522.24,506.97,11436.0,1,3.06
36,000_036.dat,522.31,507.02,11540.0,1,3.04
37,000_037.dat,522.31,506.92,11516.0,1,3.03
38,000_038.dat,522.14,507.02,11469.0,1,3.05
39,000_039.dat,522.21,506.97,11495.0,1,3.04
40,000_040.dat,522.23,506.92,11418.0,1,3.06
41,000_041.dat,522.3,506.92,11508.0,1,3.05
42,000_042.dat,522.26,506.9,11459.0,1,3.02
43,000_043.dat,522.14,506.96,11437.0,1,3.05
44,000_044.dat,522.27,507.0,11496.0,1,3.03
45,000_045.dat,522.27,506.95,11527.0,1,3.04
46,000_046.dat,522.22,506.97,11486.0,1,3.04
47,000_047.dat,522.31,506.92,11510.0,1,3.01
48,000_048.dat,522.23,507.02,11548.0,1,3.05
49,000_049.dat,520.98,506.63,8113.0,12,4.04
50,000_050.dat,522.04,501.25,1355.0,6,4.56
51,000_051.dat,521.65,506.53,1059.0,5,4.54
52,000_052.dat,522.47,511.35,3008.0,8,4.51
53,000_053.dat,520.85,504.04,954.0,6,4.56
54,000_054.dat,522.43,507.09,403.0,4,4.45
55,000_055.dat,522.28,510.44,2422.0,5,4.54
56,000_056.dat,517.85,504.37,2707.0,6,4.55
57,000_057.dat,519.26,503.72,303.0,2,4.49
58,000_058.dat,523.13,507.23,257.0,4,4.46
59,000_059.dat,522.18,509.11,782.0,8,4.56
60,000_060.dat,523.85,506.59,980.0,9,4.53
61,000_061.dat,524.4,511.52,4151.0,16,4.45
62,000_062.dat,522.3,507.04,11572.0,1,3.01
63,000_063.dat,522.32,506.9,11565.0,1,2.96
64,000_064.dat,522.19,506.94,11496.0,1,2.96
65,000_065.dat,522.26,506.77,11580.0,1,2.97
66,000_066.dat,522.31,506.9,11513.0,1,3.0
67,000_067.dat,522.19,506.94,11575.0,1,2.96
68,000_068.dat,522.19,506.94,11478.0,1,2.99
69,000_069.dat,522.26,506.88,11479.0,1,3.0
70,000_070.dat,522.21,506.94,11471.0,1,2.96
71,000_071.dat,522.26,506.89,11476.0,2,2.98
72,000_072.dat,522.22,506.9,11444.0,1,3.0
73,000_073.dat,522.19,506.94,11466.0,1,2.98
74,000_074.dat,522.22,506.91,11446.0,1,2.97
75,000_075.dat,522.22,506.91,11492.0,1,2.98
76,000_076.dat,522.23,506.92,11449.0,1,2.98
77,000_077.dat,522.25,506.79,11433.0,1,3.01
78,000_078.dat,522.2,506.86,11499.0,1,2.98
79,000_079.dat,522.29,506.94,11469.0,1,2.97
80,000_080.dat,522.23,506.92,11477.0,1,2.99
81,000_081.dat,522.19,506.93,11453.0,1,2.98
82,000_082.dat,522.31,506.8,11605.0,1,2.99
83,000_083.dat,522.26,506.78,11548.0,1,3.01
84,000_084.dat,522.31,506.58,11482.0,1,3.13
85,000_085.dat,528.76,507.54,4898.0,9,4.46
86,000_086.dat,524.69,505.92,2328.0,4,4.56
87,000_087.dat,520.95,510.02,789.0,2,4.59
88,000_088.dat,522.06,506.85,457.0,6,4.59
89,000_089.dat,524.79,503.18,699.0,4,4.56
90,000_090.dat,519.87,504.48,623.0,1,4.45
91,000_091.dat,525.21,504.09,229.0,2,4.35
92,000_092.dat,520.21,509.5,821.0,1,4.5
93,000_093.dat,522.42,507.83,235.0,4,4.52
94,000_094.dat,545.65,541.06,338.0,4,4.5
95,000_095.dat,520.99,512.58,489.0,6,4.55
96,000_096.dat,522.32,509.6,3878.0,9,4.34
97,000_097.dat,521.22,505.33,2198.0,13,4.41
98,000_098.dat,517.28,505.9,2672.0,12,4.51
99,000_099.dat,520.74,507.04,6165.0,4,4.25
100,001_000.dat,522.45,507.22,11444.0,1,3.14
101,001_001.dat,522.5,507.34,11505.0,1,3.1
102,001_002.dat,522.45,507.08,11524.0,1,3.07
103,001_003.dat,522.45,507.14,11557.0,1,3.05
104,001_004.dat,522.34,507.15,11512.0,1,3.04
105,001_005.dat,522.44,507.08,11518.0,1,3.05
106,001_006.dat,522.43,507.12,11452.0,1,3.07
107,001_007.dat,522.35,507.2,11548.0,1,3.02
108,001_008.dat,522.42,507.13,11575.0,1,3.04
109,001_009.dat,522.42,507.13,11506.0,1,3.03
110,001_010.dat,522.43,507.13,11525.0,1,3.02
111,001_011.dat,522.36,507.14,11498.0,1,3.02
112,001_012.dat,522.44,507.07,11561.0,1,3.03
113,001_013.dat,522.39,507.16,11451.0,1,3.05
114,001_014.dat,522.37,507.08,11509.0,1,3.05
115,001_015.dat,522.39,507.09,11509.0,1,3.04
116,001_016.dat,522.29,507.16,11515.0,1,3.03
117,001_017.dat,522.31,507.1,11503.0,1,3.03
118,001_018.dat,522.37,507.13,11511.0,1,3.02
119,001_019.dat,522.39,507.11,11526.0,1,3.0
120,001_020.dat,522.38,507.16,11474.0,1,3.01
121,001_021.dat,522.33,507.13,11550.0,1,3.01
122,001_022.dat,522.32,507.1,11446.0,1,2.99
123,001_023.dat,522.27,507.07,11504.0,1,3.01
124,001_024.dat,522.4,507.03,11475.0,1,3.04
125,001_025.dat,522.35,507.08,11588.0,1,3.0
126,001_026.dat,522.4,507.1,11477.0,1,3.04
127,001_027.dat,522.35,507.08,11548.0,1,3.01
128,001_028.dat,522.34,507.15,11472.0,1,3.02
129,001_029.dat,522.44,507.07,11530.0,1,3.04
130,001_030.dat,522.34,507.13,11501.0,1,3.02
131,001_031.dat,522.35,507.09,11559.0,1,3.03
132,001_032.dat,522.42,507.12,11493.0,1,3.04
133,001_033.dat,522.31,507.05,11535.0,1,3.03
134,001_034.dat,522.36,507.08,11507.0,1,2.99
135,001_035.dat,522.44,507.08,11587.0,1,3.03
136,001_036.dat,522.45,507.06,11470.0,1,3.07
137,001_037.dat,522.35,507.08,11446.0,1,3.06
138,001_038.dat,522.44,507.06,11432.0,1,3.07
139,001_039.dat,522.4,507.21,11531.0,1,3.08
140,001_040.dat,522.45,507.12,11574.0,1,3.1
141,001_041.dat,522.4,507.05,11481.0,1,3.04
142,001_042.dat,522.43,507.11,11445.0,1,3.09
143,001_043.dat,522.41,506.99,11534.0,1,3.05
144,001_044.dat,522.39,507.04,11505.0,1,3.05
145,001_045.dat,522.4,507.04,11523.0,1,3.08
146,001_046.dat,522.4,507.2,11534.0,1,3.07
147,001_047.dat,522.42,507.13,11542.0,1,3.06
148,001_048.dat,522.37,507.1,11499.0,1,3.05
