,DatafileName,Xcenter,Ycenter,MaxInt,Peaks,S
0,000_000.dat,521.99,506.56,11545.0,1,2.78
1,000_001.dat,521.97,506.6,11530.0,1,2.76
2,000_002.dat,522.02,506.59,11554.0,1,2.73
3,000_003.dat,521.9,506.55,11552.0,1,2.72
4,000_004.dat,522.0,506.54,11513.0,1,2.72
5,000_005.dat,522.0,506.55,11536.0,1,2.73
6,000_006.dat,521.99,506.55,11505.0,1,2.73
7,000_007.dat,522.0,506.55,11573.0,1,2.72
8,000_008.dat,522.03,506.59,11515.0,1,2.77
9,000_009.dat,521.88,506.51,11531.0,1,2.75
10,000_010.dat,521.93,506.07,11380.0,7,3.34
11,000_011.dat,521.25,506.54,11172.0,5,3.41
12,000_012.dat,520.87,505.3,11294.0,2,3.25
13,000_013.dat,521.25,506.12,5082.0,6,4.35
14,000_014.dat,522.74,506.23,5704.0,9,4.33
15,000_015.dat,523.71,507.43,6222.0,6,4.23
16,000_016.dat,523.26,507.11,7689.0,3,4.17
17,000_017.dat,520.72,506.09,7086.0,7,4.16
18,000_018.dat,522.67,506.81,5763.0,3,4.37
19,000_019.dat,522.3,506.72,7272.0,4,4.08
20,000_020.dat,521.42,505.23,4398.0,7,4.41
21,000_021.dat,521.29,506.8,1670.0,7,4.57
22,000_022.dat,519.39,504.45,4344.0,10,4.41
23,000_023.dat,516.2,503.59,2947.0,1,4.55
24,000_024.dat,522.75,507.99,4533.0,4,4.46
25,000_025.dat,523.52,506.41,10710.0,5,3.69
26,000_026.dat,522.35,506.89,11509.0,2,2.89
27,000_027.dat,522.14,506.37,11561.0,1,2.76
28,000_028.dat,522.21,506.34,11387.0,8,3.25
29,000_029.dat,522.11,506.87,11441.0,4,3.04
30,000_030.dat,522.01,506.44,11514.0,1,2.72
31,000_031.dat,522.02,506.42,11573.0,1,2.77
32,000_032.dat,521.97,506.4,11504.0,1,2.79
33,000_033.dat,521.91,506.32,11608.0,1,2.79
34,000_034.dat,521.97,506.41,11566.0,1,2.75
35,000_035.dat,521.97,506.41,11572.0,1,2.75
36,000_036.dat,522.0,506.44,11531.0,1,2.74
37,000_037.dat,522.03,506.49,11556.0,1,2.76
38,000_038.dat,521.97,506.4,11501.0,1,2.77
39,000_039.dat,522.03,506.41,11538.0,1,2.77
40,000_040.dat,521.97,506.4,11576.0,1,2.76
41,000_041.dat,521.97,506.4,11486.0,1,2.75
42,000_042.dat,521.97,506.41,11505.0,1,2.77
43,000_043.dat,521.91,506.32,11545.0,1,2.8
44,000_044.dat,521.92,506.4,11491.0,1,2.76
45,000_045.dat,521.97,506.41,11510.0,1,2.77
46,000_046.dat,521.92,506.28,11545.0,1,2.8
47,000_047.dat,521.94,506.35,11626.0,1,2.79
48,000_048.dat,522.0,506.38,11502.0,1,2.79
49,000_049.dat,521.98,506.41,11527.0,1,2.79
50,000_050.dat,522.0,506.37,11490.0,1,2.81
51,000_051.dat,522.0,506.37,11579.0,1,2.78
